项目,股票,主板,科创板
流通股本,47570.91,45733.43,1837.48
总市值,588014.53,507298.23,80716.3
平均市盈率,15.02,13.80,56.28
上市公司,2286,1697,589
上市股票,2324,1735,589
流通市值,553378.38,485956.27,67422.1
报告时间,20250814,20250814,20250814
总股本,50610.08,48292.76,2317.32
