项目,股票,主板,科创板
流通股本,47531.7,45733.82,1797.88
总市值,574535.62,500318.28,74217.35
平均市盈率,14.75,13.62,52.87
上市公司,2285,1696,589
上市股票,2324,1735,589
流通市值,538055.54,478854.97,59200.57
报告时间,20250722,20250722,20250722
总股本,50611.59,48297.4,2314.19
